,SPEAKER,Text
80,SPEAKER_00," I haven't gone to the recruiters yet, then I went to the recruiters and they told me if you Baker acted or did any drugs, we can't take you. And that's when I flipped out and just dropped out."
81,SPEAKER_01, When did you drop down from school?
82,SPEAKER_00," Uh, it was 2016. 2016."
83,SPEAKER_01, and you haven't been to any formal schooling since.
84,SPEAKER_00, No sir.
85,SPEAKER_01, Unless you have anything else you want to say. No.
86,SPEAKER_00, Unless you have any.
87,SPEAKER_01, or anything to you.
88,SPEAKER_01, No. Do you have any brothers and sisters?
89,SPEAKER_00, I'm getting on the side.
90,SPEAKER_01," Okay, alright."
